,price,totsp,livesp,kitsp,dist,metrdist,walk,brick,floor,code
0,95.0,64.0,45.0,6.0,14.5,10.0,1.0,0.0,1.0,2
1,110.0,75.0,43.0,10.0,13.5,15.0,0.0,0.0,1.0,6
2,180.0,72.0,45.0,10.0,3.0,3.0,1.0,1.0,1.0,1
3,106.0,58.0,44.0,6.0,,10.0,0.0,0.0,0.0,4
4,86.0,56.0,42.0,5.0,,5.0,1.0,1.0,0.0,5
5,165.0,76.0,52.0,9.0,8.0,2.0,1.0,1.0,1.0,1
6,125.0,83.0,48.0,9.0,12.0,3.0,1.0,0.0,1.0,5
7,110.0,83.0,47.0,10.0,17.0,10.0,1.0,0.0,1.0,4
8,138.0,73.0,52.0,9.0,10.5,15.0,1.0,1.0,1.0,3
9,95.0,65.0,46.0,8.0,13.5,7.0,0.0,0.0,0.0,6
10,288.0,106.0,71.0,9.0,9.0,10.0,1.0,1.0,1.0,3
11,90.0,51.0,35.0,6.0,7.0,3.0,1.0,0.0,1.0,4
12,85.0,60.0,43.0,6.0,12.0,5.0,1.0,1.0,1.0,7
13,133.0,85.0,50.0,9.0,12.0,10.0,0.0,0.0,1.0,7
14,123.0,70.0,47.0,8.0,12.0,7.0,0.0,0.0,1.0,7
15,183.6,80.0,40.0,25.0,10.5,10.0,0.0,0.0,1.0,3
16,145.0,85.0,54.0,11.0,8.0,10.0,0.0,1.0,1.0,1
17,78.0,55.0,37.0,6.0,11.5,2.0,1.0,1.0,1.0,6
18,102.0,58.0,38.0,6.0,15.5,8.0,1.0,0.0,1.0,1
19,130.0,72.0,42.0,9.0,12.0,5.0,1.0,0.0,1.0,1
20,79.0,51.0,34.0,6.0,13.5,10.0,1.0,0.0,1.0,6
21,114.0,74.0,44.0,11.0,12.7,10.0,1.0,0.0,1.0,5
22,150.0,80.0,53.0,8.0,9.0,3.0,1.0,1.0,1.0,4
23,115.0,80.0,45.0,10.0,,10.0,0.0,0.0,1.0,6
24,189.6,88.0,61.0,9.0,10.5,15.0,1.0,1.0,1.0,3
25,77.0,61.0,45.0,6.0,13.5,5.0,0.0,0.0,0.0,6
26,217.2,86.0,51.0,11.0,10.5,10.0,0.0,0.0,0.0,3
27,130.0,83.0,48.0,9.0,,5.0,1.0,0.0,1.0,5
28,104.0,73.0,44.0,10.0,13.0,5.0,0.0,0.0,1.0,5
29,200.0,101.0,68.0,10.0,11.0,10.0,1.0,1.0,1.0,8
30,76.0,53.0,39.0,6.0,12.0,10.0,1.0,0.0,1.0,5
31,128.0,78.0,54.0,9.0,6.5,5.0,1.0,0.0,1.0,5
32,140.0,80.0,45.0,13.0,13.5,5.0,0.0,0.0,1.0,1
33,155.0,85.0,53.0,7.0,4.5,10.0,1.0,0.0,0.0,8
34,140.0,86.0,51.0,10.0,12.7,10.0,1.0,0.0,1.0,5
35,108.0,60.0,45.0,5.0,10.5,10.0,0.0,0.0,1.0,3
36,112.0,63.0,35.0,8.0,11.0,7.0,1.0,0.0,1.0,8
37,117.0,81.0,46.0,10.0,,10.0,1.0,0.0,1.0,2
38,132.0,70.0,42.0,10.0,14.5,7.0,0.0,0.0,1.0,3
39,190.8,107.0,64.0,13.0,14.5,10.0,0.0,1.0,1.0,3
40,100.0,70.0,44.0,8.0,15.5,7.0,0.0,0.0,0.0,1
41,230.4,123.0,68.0,16.0,14.5,10.0,0.0,0.0,0.0,3
42,120.0,59.0,45.0,6.0,3.0,3.0,1.0,0.0,1.0,1
43,88.0,63.0,37.0,8.0,13.0,5.0,0.0,0.0,1.0,5
44,100.0,80.0,51.0,10.0,,10.0,0.0,0.0,1.0,6
45,122.0,81.0,46.0,13.0,12.0,15.0,1.0,0.0,1.0,5
46,103.0,77.0,46.0,11.0,13.0,5.0,0.0,0.0,1.0,5
47,140.0,77.0,46.0,10.0,8.0,10.0,1.0,0.0,1.0,1
48,174.0,62.0,41.0,9.0,9.0,5.0,1.0,0.0,1.0,3
49,95.0,82.0,50.0,10.0,12.0,10.0,0.0,0.0,1.0,5
50,222.0,134.0,75.0,16.0,12.0,5.0,1.0,0.0,1.0,7
51,128.0,83.0,44.0,10.0,7.0,2.0,1.0,0.0,1.0,5
52,120.0,63.0,43.0,9.0,,1.0,1.0,0.0,0.0,8
53,124.0,77.0,44.0,10.0,14.5,5.0,0.0,0.0,1.0,2
54,177.0,80.0,50.0,9.0,,2.0,1.0,0.0,0.0,8
55,144.0,75.0,45.0,10.0,14.5,10.0,0.0,0.0,1.0,3
56,169.0,80.0,50.0,8.0,10.0,5.0,1.0,1.0,1.0,6
57,210.0,79.0,53.0,8.0,7.0,5.0,1.0,1.0,1.0,4
58,95.0,63.0,38.0,8.0,12.5,5.0,1.0,0.0,1.0,2
59,134.0,84.0,52.0,8.0,12.0,7.0,1.0,1.0,1.0,8
60,80.0,58.0,43.0,6.0,10.0,10.0,1.0,1.0,1.0,6
61,160.0,73.0,41.0,8.0,7.0,5.0,0.0,0.0,0.0,4
62,90.0,64.0,39.0,9.0,6.0,5.0,0.0,1.0,1.0,6
63,95.0,57.0,41.0,6.0,4.5,7.0,1.0,1.0,0.0,8
64,85.0,57.0,37.0,5.0,12.0,7.0,0.0,0.0,1.0,8
65,150.0,75.0,52.0,9.0,10.5,5.0,0.0,1.0,1.0,3
66,101.0,55.0,39.0,6.0,4.5,12.0,1.0,1.0,0.0,8
67,126.0,83.0,50.0,9.0,14.5,15.0,1.0,0.0,0.0,2
68,105.6,51.0,34.0,6.0,14.5,10.0,1.0,0.0,1.0,3
69,80.0,52.0,34.0,6.0,17.0,10.0,1.0,0.0,0.0,4
70,145.0,81.0,46.0,10.0,15.5,5.0,1.0,0.0,1.0,1
71,168.0,87.0,57.0,7.0,10.5,3.0,1.0,1.0,1.0,3
72,460.0,153.0,84.0,18.0,,5.0,1.0,1.0,1.0,4
73,138.0,66.0,44.0,14.0,4.5,2.0,1.0,0.0,1.0,8
74,94.0,61.0,38.0,9.0,,5.0,0.0,0.0,1.0,7
75,153.6,57.0,38.0,6.0,,5.0,1.0,1.0,1.0,3
76,115.0,66.0,40.0,8.0,12.5,5.0,1.0,0.0,0.0,2
77,210.0,79.0,47.0,9.0,14.5,7.0,1.0,1.0,1.0,3
78,121.0,81.0,46.0,8.0,12.0,2.0,1.0,0.0,1.0,5
79,112.0,75.0,42.0,10.0,12.0,5.0,0.0,0.0,1.0,5
80,105.0,75.0,46.0,10.0,13.0,7.0,0.0,0.0,0.0,5
81,110.0,60.0,37.0,9.0,12.5,7.0,1.0,0.0,1.0,2
82,100.8,60.0,43.0,6.0,14.5,5.0,0.0,0.0,1.0,3
83,185.0,95.0,57.0,12.0,,5.0,1.0,0.0,0.0,4
84,123.0,74.0,48.0,10.0,12.5,15.0,1.0,0.0,1.0,2
85,92.0,63.0,38.0,8.0,12.0,10.0,0.0,0.0,1.0,8
86,129.0,66.0,44.0,9.0,9.0,15.0,1.0,0.0,0.0,4
87,95.0,62.0,45.0,7.0,12.5,10.0,1.0,1.0,1.0,2
88,105.0,56.0,43.0,6.0,3.0,10.0,1.0,1.0,1.0,1
89,128.0,70.0,50.0,8.0,5.0,5.0,1.0,1.0,0.0,4
90,98.4,60.0,44.0,6.0,14.5,7.0,0.0,0.0,1.0,3
91,130.0,75.0,45.0,10.0,12.0,10.0,0.0,0.0,1.0,8
92,115.0,68.0,43.0,9.0,,5.0,1.0,0.0,1.0,2
93,130.0,74.0,53.0,7.0,4.5,7.0,1.0,1.0,1.0,8
94,230.0,80.0,46.0,13.0,5.0,4.0,1.0,1.0,1.0,4
95,98.0,58.0,42.0,6.0,12.0,10.0,1.0,1.0,1.0,8
96,155.0,64.0,36.0,8.0,8.0,7.0,1.0,1.0,0.0,1
97,92.0,66.0,44.0,9.0,11.5,7.0,1.0,0.0,0.0,6
